time,value
1483484400,1.284098990e+07
1483488000,1.195401777e+07
1483491600,1.181641257e+07
1483495200,1.165984335e+07
1483498800,1.133928482e+07
1483502400,1.079775516e+07
1483506000,1.028600550e+07
1483509600,1.017659105e+07
1483513200,1.040716204e+07
1483516800,1.085815597e+07
1483520400,1.133186180e+07
1483524000,1.192000265e+07
1483527600,1.294422412e+07
1483531200,1.424687694e+07
1483534800,1.529321183e+07
1483538400,1.597765042e+07
1483542000,1.624215053e+07
1483545600,1.640486060e+07
1483549200,1.632432505e+07
1483552800,1.628591033e+07
1483556400,1.654910371e+07
1483560000,1.690451803e+07
1483563600,1.612972987e+07
1483567200,1.445014869e+07
1483570800,1.286007234e+07
1483574400,1.209584566e+07
1483578000,1.183486706e+07
1483581600,1.170139792e+07
1483585200,1.141834803e+07
1483588800,1.074221295e+07
1483592400,1.029566170e+07
1483596000,1.012574863e+07
1483599600,1.030032878e+07
1483603200,1.073974539e+07
1483606800,1.121641129e+07
1483610400,1.185534561e+07
1483614000,1.274815566e+07
1483617600,1.394268357e+07
1483621200,1.509590830e+07
1483624800,1.592199149e+07
1483628400,1.611248185e+07
1483632000,1.615596398e+07
1483635600,1.611603060e+07
1483639200,1.605581801e+07
1483642800,1.613603976e+07
1483646400,1.613539286e+07
1483650000,1.562057045e+07
1483653600,1.435947434e+07
1483657200,1.293372492e+07
1483660800,1.196013720e+07
1483664400,1.175682835e+07
1483668000,1.163194398e+07
1483671600,1.130158188e+07
1483675200,1.051442018e+07
1483678800,9.961733416e+06
1483682400,9.866650485e+06
1483686000,1.014964266e+07
1483689600,1.061650340e+07
1483693200,1.125028303e+07
1483696800,1.191925494e+07
1483700400,1.289065329e+07
1483704000,1.404974032e+07
1483707600,1.521073862e+07
1483711200,1.600373775e+07
1483714800,1.629327538e+07
1483718400,1.642714690e+07
1483722000,1.633061554e+07
1483725600,1.637397355e+07
1483729200,1.653782266e+07
1483732800,1.664406929e+07
1483736400,1.600275876e+07
1483740000,1.438718625e+07
1483743600,1.307769164e+07
1483747200,1.213913601e+07
1483750800,1.162893231e+07
1483754400,1.142144609e+07
1483758000,1.115812246e+07
1483761600,1.063003159e+07
1483765200,1.013951934e+07
1483768800,9.969804568e+06
1483772400,1.014501606e+07
1483776000,1.074282508e+07
1483779600,1.124050931e+07
1483783200,1.167577290e+07
1483786800,1.242678839e+07
1483790400,1.360465299e+07
1483794000,1.493066960e+07
1483797600,1.572641011e+07
1483801200,1.637359407e+07
1483804800,1.669750248e+07
1483808400,1.669895542e+07
1483812000,1.646187467e+07
1483815600,1.632764303e+07
1483819200,1.609873732e+07
1483822800,1.548302053e+07
1483826400,1.429208371e+07
1483830000,1.298071203e+07
1483833600,1.209848243e+07
1483837200,1.176258605e+07
1483840800,1.181268748e+07
1483844400,1.166107802e+07
1483848000,1.114863066e+07
1483851600,1.043817758e+07
1483855200,1.005422837e+07
1483858800,1.011459416e+07
1483862400,1.069835502e+07
1483866000,1.129758229e+07
1483869600,1.180554218e+07
1483873200,1.248884675e+07
1483876800,1.349219596e+07
1483880400,1.465328648e+07
1483884000,1.566708645e+07
1483887600,1.646893475e+07
1483891200,1.666554238e+07
1483894800,1.683201769e+07
1483898400,1.687076862e+07
1483902000,1.691247481e+07
1483905600,1.694385493e+07
1483909200,1.594337187e+07
1483912800,1.417791949e+07
1483916400,1.275733078e+07
1483920000,1.196809467e+07
1483923600,1.172589737e+07
1483927200,1.160449363e+07
1483930800,1.114860975e+07
1483934400,1.058326759e+07
1483938000,1.011284366e+07
1483941600,1.007004129e+07
1483945200,1.025978804e+07
1483948800,1.061418568e+07
1483952400,1.094032021e+07
1483956000,1.152131350e+07
1483959600,1.251128756e+07
1483963200,1.373107088e+07
1483966800,1.485306996e+07
1483970400,1.567356336e+07
1483974000,1.599467973e+07
1483977600,1.617856185e+07
1483981200,1.629404802e+07
1483984800,1.629177811e+07
1483988400,1.618111023e+07
1483992000,1.603313077e+07
1483995600,1.533786677e+07
1483999200,1.375117158e+07
1484002800,1.254924562e+07
1484006400,1.168460131e+07
1484010000,1.155448215e+07
1484013600,1.151008840e+07
1484017200,1.109888214e+07
1484020800,1.033726301e+07
1484024400,9.858820457e+06
1484028000,9.805154065e+06
1484031600,1.005583479e+07
1484035200,1.038698684e+07
1484038800,1.068330924e+07
1484042400,1.137517800e+07
1484046000,1.244570184e+07
1484049600,1.374872032e+07
1484053200,1.482126294e+07
1484056800,1.557178342e+07
1484060400,1.595150471e+07
1484064000,1.595300695e+07
1484067600,1.595576535e+07
1484071200,1.607756789e+07
1484074800,1.636839263e+07
1484078400,1.637612173e+07
1484082000,1.556896905e+07
1484085600,1.402817653e+07
1484089200,1.252999519e+07
1484092800,1.168328463e+07
1484096400,1.140039554e+07
1484100000,1.159157858e+07
1484103600,1.114206078e+07
1484107200,1.033476258e+07
1484110800,9.932705723e+06
1484114400,9.813828242e+06
1484118000,1.010544568e+07
1484121600,1.053821266e+07
1484125200,1.077789843e+07
1484128800,1.127054688e+07
1484132400,1.236907116e+07
1484136000,1.369296613e+07
1484139600,1.470406364e+07
1484143200,1.543971280e+07
1484146800,1.589601331e+07
1484150400,1.670263997e+07
1484154000,1.672029454e+07
1484157600,1.639419396e+07
1484161200,1.618833033e+07
1484164800,1.623304618e+07
1484168400,1.553135383e+07
1484172000,1.390029309e+07
1484175600,1.223947283e+07
1484179200,1.128233035e+07
1484182800,1.095297747e+07
1484186400,1.092175587e+07
1484190000,1.069295831e+07
1484193600,1.002730086e+07
1484197200,9.451982592e+06
1484200800,9.482612878e+06
1484204400,9.825009599e+06
1484208000,1.022718364e+07
1484211600,1.056267515e+07
1484215200,1.117620314e+07
1484218800,1.217590258e+07
1484222400,1.334121622e+07
1484226000,1.431346325e+07
1484229600,1.503394185e+07
1484233200,1.536734361e+07
1484236800,1.568815314e+07
1484240400,1.579372753e+07
1484244000,1.567031609e+07
1484247600,1.575822561e+07
1484251200,1.598349608e+07
1484254800,1.549785280e+07
1484258400,1.397293910e+07
1484262000,1.246362579e+07
1484265600,1.143012032e+07
1484269200,1.103314711e+07
1484272800,1.092023646e+07
1484276400,1.064809440e+07
1484280000,9.949502670e+06
1484283600,9.581012836e+06
1484287200,9.807935689e+06
1484290800,1.001170986e+07
1484294400,1.071634885e+07
1484298000,1.087122349e+07
1484301600,1.148354697e+07
1484305200,1.233152766e+07
1484308800,1.343139815e+07
1484312400,1.461152773e+07
1484316000,1.530893748e+07
1484319600,1.568491405e+07
1484323200,1.598914162e+07
1484326800,1.589121779e+07
1484330400,1.573852516e+07
1484334000,1.574265167e+07
1484337600,1.577144495e+07
1484341200,1.516235656e+07
1484344800,1.395513070e+07
